COD_PROVINCIA,PROVINCIA,year,rental_homes,municipalities,municipal_rent_q25,municipal_rent_q75,rent_eur_month,municipal_spread_eur
29,Málaga,2016,44387,41,334.0,444.08885542168673,456.57205938675736,110.08885542168673
29,Málaga,2017,48832,45,310.0,455.7835820895522,469.32351736566187,145.78358208955223
29,Málaga,2018,52033,45,338.70588235294116,474.20785714285716,498.5761151576884,135.501974789916
29,Málaga,2019,55523,47,350.0,513.0764619883041,542.4836734326316,163.07646198830412
29,Málaga,2020,58183,55,326.5,512.3432835820895,558.8008009212313,185.8432835820895
29,Málaga,2021,61909,58,350.0,516.6040596094552,579.2237800642879,166.60405960945525
29,Málaga,2022,65354,61,350.0,554.9742895805142,605.3975885179178,204.9742895805142
29,Málaga,2023,69797,65,369.64285714285717,571.875,642.2362995544221,202.23214285714283
29,Málaga,2024,72989,66,393.75,611.3885819521179,687.4471906725671,217.63858195211787
30,Murcia,2011,21026,38,287.67911844792377,348.9625748502994,367.3886616569961,61.283456402375634
30,Murcia,2012,22120,38,282.9439511653718,331.8252284694063,363.7637884267631,48.881277304034484
30,Murcia,2013,24359,38,261.1890252662201,330.9,341.70351820682293,69.71097473377989
30,Murcia,2014,27561,39,248.42657342657344,302.2006953465271,331.7647037480498,53.77412191995364
30,Murcia,2015,31475,38,252.5,306.6024590163934,332.31370929308974,54.102459016393425
30,Murcia,2016,35106,38,261.952786377709,306.28414811401024,339.580527545149,44.33136173630123
30,Murcia,2017,38848,39,267.8466898954704,306.1247640154313,347.0090609555189,38.278074119960934
30,Murcia,2018,41795,39,282.709022556391,320.35346903339143,359.5597559516689,37.64444647700043
30,Murcia,2019,45693,39,300.0,341.06217833932857,376.43260455649664,41.06217833932857
30,Murcia,2020,48534,39,300.0,351.3047619047619,390.1887130671282,51.304761904761904
30,Murcia,2021,51165,39,301.74339792913463,355.4975232690351,402.865689436138,53.7541253399005
30,Murcia,2022,53066,40,312.93558673469386,374.0555172568405,418.2161270870237,61.11993052214666
30,Murcia,2023,56818,40,328.1515151515151,388.16092112520687,437.98755676018163,60.00940597369174
30,Murcia,2024,59178,40,347.38520408163265,405.08266444749665,460.06206698435227,57.697460365864
31,Navarra,2021,20992,83,330.82835820895525,468.648711622807,515.4464081554878,137.82035341385176
31,Navarra,2022,23471,85,299.3333333333333,425.0,446.09288057603,125.66666666666669
31,Navarra,2023,24479,86,360.19144736842105,522.1864114552893,578.629560031047,161.99496408686826
31,Navarra,2024,24534,82,360.5043644298963,529.4396637669827,595.3630879595663,168.93529933708635
32,Ourense,2011,8372,17,217.0,316.2162162162162,314.1506211180124,99.2162162162162
32,Ourense,2012,8389,18,237.04112465848388,300.0,316.2059840267016,62.95887534151612
32,Ourense,2013,8643,18,245.83321633157362,325.265625,314.98600023140114,79.43240866842638
32,Ourense,2014,9017,18,233.35714285714286,306.4294117647059,312.2744815348786,73.07226890756303
32,Ourense,2015,9615,18,247.16165592937244,307.1580665967911,312.2287051482059,59.99641066741867
32,Ourense,2016,10146,21,244.24460431654677,315.0,317.90252316183717,70.75539568345323
32,Ourense,2017,10753,20,247.22222222222223,330.8998215651287,322.33181437738307,83.67759934290649
32,Ourense,2018,11392,22,250.0,338.9729125615763,331.6309691011236,88.97291256157632
32,Ourense,2019,12056,22,265.93543046357615,349.75,337.2621101526211,83.81456953642385
32,Ourense,2020,12592,26,257.08319752281614,349.75,343.78748411689963,92.66680247718386
32,Ourense,2021,13026,28,276.94184214889736,364.1969453376206,354.7260095194227,87.25510318872324
32,Ourense,2022,13448,36,266.75,336.25,364.5640987507436,69.5
32,Ourense,2023,14245,36,290.2448979591837,357.0920658682635,377.10782730782734,66.84716790907981
32,Ourense,2024,14972,43,279.3620689655172,350.0,386.3769035532995,70.63793103448279
33,Asturias,2011,34537,45,264.8815165876777,340.3225806451613,386.6071170049512,75.44106405748357
33,Asturias,2012,35078,47,270.6362297496318,338.88461538461536,387.42579394492276,68.24838563498355
33,Asturias,2013,36167,47,273.99624582869853,338.76166666666666,379.149805070921,64.76542083796812
33,Asturias,2014,38549,52,265.25,340.35022522522524,374.82469065345407,75.10022522522524
33,Asturias,2015,42306,55,269.905303030303,336.25576923076926,371.79442632250743,66.35046620046626
33,Asturias,2016,45101,55,271.3258986928105,343.830985915493,376.6239772954037,72.5050872226825
33,Asturias,2017,47822,58,272.25,344.734693877551,381.7627660909205,72.48469387755102
33,Asturias,2018,49950,58,277.20588235294116,342.3266225961538,387.55727727727725,65.12074024321265
33,Asturias,2019,52323,57,291.8144329896907,356.9070208728653,408.06272576113753,65.09258788317459
33,Asturias,2020,53714,56,300.0,374.54030012157534,412.9722604907473,74.54030012157534
33,Asturias,2021,55463,58,300.0,380.4104398516163,423.7178659646972,80.41043985161627
33,Asturias,2022,56462,57,300.0,398.0,432.84447947291983,98.0
33,Asturias,2023,58814,60,301.18125,400.0,449.9222634066719,98.81875000000002
33,Asturias,2024,60454,60,318.5756108597285,408.6836001085187,467.4118503324842,90.1079892487902
34,Palencia,2011,3677,14,255.8488095238095,341.6604606112785,345.5683981506663,85.81165108746899
34,Palencia,2012,3736,13,259.0,357.41293532338307,349.4186295503212,98.41293532338307
34,Palencia,2013,3911,14,248.52542372881356,353.8315073100996,342.9547430324725,105.30608358128603
34,Palencia,2014,4142,12,264.4133858267717,348.05962054552424,341.38894253983585,83.64623471875257
34,Palencia,2015,4569,13,278.42391304347825,353.7732793522267,344.83694462683303,75.34936630874847
34,Palencia,2016,5020,16,271.5,359.28900792348446,353.9958167330677,87.78900792348446
34,Palencia,2017,5300,17,274.0,375.37156304186277,364.64584905660377,101.37156304186277
34,Palencia,2018,5513,14,283.34547803617573,363.2284042553191,370.17649192816975,79.88292621914337
34,Palencia,2019,5775,18,293.8636363636364,393.61146496815286,387.53800865800866,99.74782860451649
34,Palencia,2020,6019,20,298.75,392.5,388.6326632330952,93.75
34,Palencia,2021,6115,19,300.0,397.6046511627907,393.53164349959115,97.60465116279067
34,Palencia,2022,6243,21,300.0,414.1560975609756,406.6894121415986,114.15609756097558
34,Palencia,2023,6557,21,300.3114754098361,368.0,416.2678053988104,67.68852459016392
34,Palencia,2024,6865,23,314.0,382.0,432.23525127458123,68.0
35,"Palmas, Las",2011,30560,31,358.21021341463415,412.3800007491759,413.7458442408377,54.16978733454175
35,"Palmas, Las",2012,32813,31,354.6296296296296,412.31561497326203,410.749459055862,57.68598534363241
35,"Palmas, Las",2013,35203,31,344.4485981308411,414.5563120567376,402.89904269522486,70.10771392589652
35,"Palmas, Las",2014,38241,31,347.95164790451645,405.50847457627117,402.6039852514317,57.55682667175472
35,"Palmas, Las",2015,41874,31,347.1999593925643,400.54536082474226,404.1609113053446,53.34540143217794
35,"Palmas, Las",2016,45284,32,353.558540860735,413.3973885096393,415.3272016606307,59.838847648904334
35,"Palmas, Las",2017,48689,31,356.6460843373494,432.090826934663,426.6381728932613,75.44474259731362
35,"Palmas, Las",2018,51028,31,371.2272604724834,456.5891891891892,438.2154307439053,85.36192871670579
35,"Palmas, Las",2019,53809,32,399.44861202908135,483.4284975914326,473.41329517366984,83.97988556235123
35,"Palmas, Las",2020,55813,32,400.44585987261144,472.5937297472456,474.75147367100857,72.14786987463418
35,"Palmas, Las",2021,57388,32,424.0456609755903,490.8216083622719,486.76786087683837,66.7759473866816
35,"Palmas, Las",2022,58519,32,441.26558038485416,503.7115117891817,512.2679642509271,62.44593140432755
35,"Palmas, Las",2023,60811,32,448.8505025125628,527.2040694229854,527.91422604463,78.35356691042261
35,"Palmas, Las",2024,63030,32,476.37621640851626,561.5354444444445,555.5274472473425,85.15922803592821
36,Pontevedra,2011,24154,40,299.75257731958766,346.9876533971865,391.4660925726588,47.23507607759882
36,Pontevedra,2012,25112,40,291.81860178626425,344.4217267552182,387.6943294042689,52.60312496895392
36,Pontevedra,2013,26686,42,279.98591549295776,343.18333333333334,376.3668215543731,63.19741784037558
36,Pontevedra,2014,28513,46,290.15788530465954,330.3298071587125,371.43183810893277,40.17192185405298
36,Pontevedra,2015,30597,50,260.9754098360656,335.53839037927844,369.93417655325686,74.56298054321286
