COD_PROVINCIA,province_name,jan_c,feb_c,mar_c,apr_c,may_c,jun_c,jul_c,aug_c,sep_c,oct_c,nov_c,dec_c,winter_c,spring_c,summer_c,autumn_c,annual_mean_c,monthly_std_c,monthly_range_c,seasonal_range_c,annual_anomaly_c,climate_comfort_score,area_km2,latitude,longitude,start_year,end_year
21,Huelva,9.428999999999998,10.625448113207549,13.065666666666669,15.75,19.808,24.71666666666666,27.953666666666667,27.847,23.75466666666666,19.23933333333333,13.339,10.425333333333333,10.145830871491883,16.212865942028994,26.862181159420288,18.78273992673993,18.036039423252408,6.55,18.52,16.716350287928407,3.7351581563171177,86.8,10126.528793523514,37.50755725950003,-6.924822497255386,1995,2024
10,Caceres,6.213000000000001,7.639056603773586,10.413000000000002,13.312,17.612666666666662,23.38133333333334,27.440999999999992,27.267000000000003,22.354000000000003,16.713666666666665,10.145666666666669,7.093333333333334,6.961894387001475,13.78430072463768,26.058565217391298,16.407842490842494,15.8434504471619,7.49,21.23,19.096670830389822,1.542569180226609,85.3,19865.794044488102,39.75894009750005,-6.137295340568468,1995,2024
51,Ceuta,13.765,13.89353773584906,14.843,16.16766666666667,18.319,20.968,23.188333333333333,23.880333333333336,22.072,19.90566666666666,16.733999999999998,14.872666666666667,14.185653618906937,16.44621739130435,22.697485507246373,19.5742380952381,18.24137981383465,3.53,10.12,8.511831888339437,3.940498546899361,84.2,19.950947073744857,35.894265302000065,-5.3471902688858375,1995,2024
41,Sevilla,8.961333333333334,10.388738207547172,13.02,15.819333333333336,20.048,25.285,28.99533333333333,29.032,24.365666666666662,19.43133333333333,13.102666666666668,10.063666666666668,9.786890694239297,16.30095652173912,27.797797101449262,18.971663003663,18.252244935207163,7.06,20.07,18.010906407209966,3.9513636682718722,84.1,14037.033335527396,37.52041492950005,-5.653307476865858,1995,2024
07,"Balears, Illes",12.209333333333332,12.015129716981132,13.368,15.44666666666667,18.721666666666668,22.90233333333333,26.079666666666657,26.604,23.929333333333336,20.793666666666667,16.40533333333333,13.605666666666668,12.628057607090096,15.849778985507246,25.22025724637681,20.38069963369964,18.5425615988319,5.19,14.59,12.592199639286715,4.2416803318966085,80.4,4991.832846169903,39.61265576450003,2.882312571261856,1995,2024
13,Ciudad Real,5.183000000000002,6.714599056603776,9.690333333333331,12.701666666666664,17.514666666666663,23.50133333333333,27.303,26.83,21.427333333333333,16.010666666666665,9.326999999999996,6.221666666666668,6.019320531757753,13.30875,25.903945652173903,15.592974358974354,15.2487844497171,7.74,22.12,19.88462512041615,0.9479031827818094,77.7,19811.296677117432,38.96144028050006,-3.885563972559142,1995,2024
02,Albacete,5.807666666666668,7.153148584905662,10.065333333333331,13.107333333333331,17.614,22.938666666666663,26.46566666666667,25.917666666666666,20.793,15.999000000000002,9.702666666666666,6.748,6.551935007385522,13.600862318840578,25.13090579710145,15.503725274725277,15.237040518342752,7.22,20.66,18.578970789715925,0.9361592514074619,77.6,14923.999955491765,38.72452034850005,-1.9543626415771804,1995,2024
45,Toledo,5.015000000000001,6.6175000000000015,9.678999999999997,12.864333333333333,17.572000000000003,23.467999999999996,27.151666666666664,26.673666666666666,21.350666666666665,15.750999999999998,9.158666666666669,5.910333333333333,5.824298375184637,13.37729347826087,25.78940579710145,15.423747252747248,15.146844314655953,7.76,22.14,19.965107421916812,0.8459630477206623,76.4,15365.574065403816,39.78830737850007,-4.102631052231721,1995,2024
52,Melilla,14.55,14.553702830188682,15.358000000000002,16.589666666666666,18.659,21.285,23.68533333333333,24.692,22.99833333333333,20.753,17.594,15.543,14.892182422452,16.871923913043478,23.241818840579704,20.45179120879121,18.87893319948897,3.55,10.14,8.349636418127703,4.578051932553679,76.1,13.48940398561773,35.29265108100003,-2.951647995916824,1995,2024
30,Murcia,5.999666666666667,7.180011792452831,9.815666666666669,12.744999999999996,17.1,22.267333333333337,25.68433333333334,25.19333333333333,20.338,15.78166666666667,9.758,6.955000000000001,6.697374446085674,13.225387681159424,24.40464855072464,15.2979304029304,14.944217922978648,6.9,19.68,17.707274104638966,0.643336656043358,73.8,11316.142192480524,38.06419952400006,-1.6719232640515669,1995,2024
