COD_PROVINCIA,PROVINCIA,COD_POSTAL,NOMBRE_MUNICIPIO,median_rent_eur,p25_rent_eur,p75_rent_eur,iqr_rent_eur,rental_homes,dwelling_types,year,lon,lat
10,Cáceres,10111,Madrigal de la Vera,315.4901960784314,271.94117647058823,443.19607843137254,171.2549019607843,51,2,2024,-5.378109524341446,40.18320803000006
15,"Coruña, A",15025,Cerdido,315.0,233.0,388.0,155.0,10,1,2024,-7.963697516821931,43.604173653500055
12,Castellón/Castelló,12039,Castellnovo,315.0,225.0,406.0,181.0,12,1,2024,-0.44714755898396535,39.85292774900003
25,Lleida,25082,Espot,315.0,300.0,462.0,162.0,15,1,2024,1.0506038057330946,42.557140162500076
18,Granada,18013,Alhama de Granada,314.96610169491527,257.89830508474574,406.1186440677966,148.22033898305085,59,2,2024,-4.008965633591654,37.00097110200005
23,Jaén,23059,Marmolejo,314.8181818181818,270.72727272727275,369.8181818181818,99.09090909090907,44,2,2024,-4.166934706867516,38.07966140600004
12,Castellón/Castelló,12034,Càlig,314.64383561643837,250.3013698630137,418.2191780821918,167.91780821917808,73,2,2024,0.3544486391316037,40.47176728200006
14,Córdoba,14055,Priego de Córdoba,314.48096885813146,277.2387543252595,364.24221453287197,87.00346020761248,289,2,2024,-4.176133406888024,37.448135223000065
45,Toledo,45125,Oropesa,314.30434782608694,289.8550724637681,393.1304347826087,103.27536231884056,69,2,2024,-5.173648755690111,39.97180076950005
37,Salamanca,37170,Ledesma,314.0,245.1304347826087,332.8695652173913,87.73913043478262,46,2,2024,-6.0038430969826795,41.13482990150007
06,Badajoz,06127,Talarrubias,314.0,258.0,350.0,92.0,30,1,2024,-5.208529413806171,39.12464384300006
42,Soria,42164,San Leonardo de Yagüe,313.9583333333333,256.2083333333333,375.375,119.16666666666669,48,2,2024,-3.0810117196205082,41.834867528000046
23,Jaén,23088,Torreperogil,313.5068493150685,281.7808219178082,346.90410958904107,65.12328767123284,73,2,2024,-3.2477892703753937,38.01937747550005
11,Cádiz,11901,Benalup-Casas Viejas,313.0128205128205,258.97435897435895,372.9871794871795,114.01282051282055,78,2,2024,-5.772818846213941,36.33465746850004
49,Zamora,49100,Lubián,313.0,244.0,402.0,158.0,10,1,2024,-6.893590187423307,42.04989049900007
10,Cáceres,10026,Belvís de Monroy,313.0,206.0,416.0,210.0,12,1,2024,-5.604067587976147,39.81464361600007
02,Albacete,02078,Villalgordo del Júcar,313.0,265.0,365.0,100.0,19,1,2024,-2.042470385764605,39.319232053000036
36,Pontevedra,36009,"Cañiza, A",312.5405405405405,257.68108108108106,369.2972972972973,111.61621621621623,185,2,2024,-8.2774630985233,42.21798131400004
