CODIGO,DESCRIPCION,mode,COD_PROVINCIA,POBLACION,node_weight,source,LATITUD,LONGITUD
05525,FUENTE SANTA DE NAVA,Media distancia,33,NAVA,2.0,Renfe Data GTFS alta/larga/media,43.3555699,-5.478379
05523,NAVA,Media distancia,33,NAVA,2.0,Renfe Data GTFS alta/larga/media,43.3611878,-5.5090986
05522,LLAMES,Media distancia,33,NAVA,2.0,Renfe Data GTFS alta/larga/media,43.3687796,-5.5252404
05521,EL REMEDIO,Media distancia,33,NAVA,2.0,Renfe Data GTFS alta/larga/media,43.3750793,-5.5462394
05517,LIERES,Media distancia,33,SIERO,2.0,Renfe Data GTFS alta/larga/media,43.380583,-5.5826229
05515,LOS CORROS,Media distancia,33,SIERO,2.0,Renfe Data GTFS alta/larga/media,43.3768432,-5.6013769
05513,POLA DE SIERO,Media distancia,33,SIERO,2.0,Renfe Data GTFS alta/larga/media,43.3881527,-5.6647718
05511,LA CARRERA DE SIERO,Media distancia,33,SIERO,2.0,Renfe Data GTFS alta/larga/media,43.3869214,-5.6753462
05509,EL BERRÓN,Media distancia,33,SIERO,2.0,Renfe Data GTFS alta/larga/media,43.3827383,-5.7026774
05508,FONCIELLO,Media distancia,33,SIERO,2.0,Renfe Data GTFS alta/larga/media,43.3817779,-5.7297194
05507,MERES,Media distancia,33,SIERO,2.0,Renfe Data GTFS alta/larga/media,43.3809885,-5.7487209
05505,COLLOTO,Media distancia,33,SIERO,2.0,Renfe Data GTFS alta/larga/media,43.3795086,-5.792366
05504,PARQUE PRINCIPADO,Media distancia,33,OVIEDO,2.0,Renfe Data GTFS alta/larga/media,43.3865865,-5.8087971
15217,LA CORREDORIA,Media distancia,33,OVIEDO,2.0,Renfe Data GTFS alta/larga/media,43.388108,-5.8272527
05573,SAN ROQUE DEL ACEBAL,Media distancia,33,LLANES,2.0,Renfe Data GTFS alta/larga/media,43.39473,-4.73013
05575,VIDIAGO,Media distancia,33,LLANES,2.0,Renfe Data GTFS alta/larga/media,43.39647,-4.673
05577,PENDUELES,Media distancia,33,LLANES,2.0,Renfe Data GTFS alta/larga/media,43.39283,-4.63039
05579,COLOMBRES,Media distancia,33,RIBADEDEVA,2.0,Renfe Data GTFS alta/larga/media,43.38272,-4.55709
05649,UNQUERA,Media distancia,39,VAL DE SAN VICENTE,2.0,Renfe Data GTFS alta/larga/media,43.37478,-4.51434
05647,PESUÉS,Media distancia,39,VAL DE SAN VICENTE,2.0,Renfe Data GTFS alta/larga/media,43.370289,-4.480174
05645,SAN VICENTE DE LA BARQUERA,Media distancia,39,SAN VICENTE DE LA BARQUERA,2.0,Renfe Data GTFS alta/larga/media,43.367837,-4.404504
05644,EL BARCENAL,Media distancia,39,SAN VICENTE DE LA BARQUERA,2.0,Renfe Data GTFS alta/larga/media,43.340347,-4.383335
05643,ROIZ,Media distancia,39,VALDÁLIGA,2.0,Renfe Data GTFS alta/larga/media,43.32821,-4.34927
05641,TRECEÑO,Media distancia,39,VALDÁLIGA,2.0,Renfe Data GTFS alta/larga/media,43.31828,-4.30902
05637,CABEZÓN DE LA SAL,Media distancia,39,CABEZÓN DE LA SAL,2.0,Renfe Data GTFS alta/larga/media,43.3079038,-4.2319437
05623,PUENTE SAN MIGUEL,Media distancia,39,REOCÍN,2.0,Renfe Data GTFS alta/larga/media,43.3586724,-4.0877667
05621,TORRELAVEGA-CENTRO,Media distancia,39,TORRELAVEGA,2.0,Renfe Data GTFS alta/larga/media,43.3510014,-4.0511789
05602,VALDECILLA LA MARGA,Media distancia,39,SANTANDER,2.0,Renfe Data GTFS alta/larga/media,43.4529465,-3.8282409
05651,NUEVA MONTAÑA,Media distancia,39,SANTANDER,2.0,Renfe Data GTFS alta/larga/media,43.4401845,-3.8493711
05655,MALIAÑO VIDRIERA,Media distancia,39,CAMARGO,2.0,Renfe Data GTFS alta/larga/media,43.4160163,-3.8411016
05657,ASTILLERO,Media distancia,39,ASTILLERO (EL),2.0,Renfe Data GTFS alta/larga/media,43.4036508,-3.8206798
05661,HERAS,Media distancia,39,MEDIO CUDEYO,2.0,Renfe Data GTFS alta/larga/media,43.4008996,-3.7666376
05663,OREJO,Media distancia,39,MARINA DE CUDEYO,2.0,Renfe Data GTFS alta/larga/media,43.3994776,-3.7383974
