COD_PROVINCIA,PROVINCIA,year,rental_homes,municipalities,municipal_rent_q25,municipal_rent_q75,rent_eur_month,municipal_spread_eur,province_name,baseline_year,rent_index
28,Madrid,2024,499787,163,482.5456370938299,710.1465922286479,831.0970173293823,227.60095513481804,Madrid,2019,117.04602672019018
29,Málaga,2019,55523,47,350.0,513.0764619883041,542.4836734326316,163.07646198830412,Málaga,2019,100.00067715540327
29,Málaga,2020,58183,55,326.5,512.3432835820895,558.8008009212313,185.8432835820895,Málaga,2019,103.0085534805396
29,Málaga,2021,61909,58,350.0,516.6040596094552,579.2237800642879,166.60405960945525,Málaga,2019,106.77329672325024
29,Málaga,2022,65354,61,350.0,554.9742895805142,605.3975885179178,204.9742895805142,Málaga,2019,111.59813975039039
29,Málaga,2023,69797,65,369.64285714285717,571.875,642.2362995544221,202.23214285714283,Málaga,2019,118.38893591550325
29,Málaga,2024,72989,66,393.75,611.3885819521179,687.4471906725671,217.63858195211787,Málaga,2019,126.72304797827884
30,Murcia,2019,45693,39,300.0,341.06217833932857,376.43260455649664,41.06217833932857,Murcia,2019,100.00069190991596
30,Murcia,2020,48534,39,300.0,351.3047619047619,390.1887130671282,51.304761904761904,Murcia,2019,103.65505221877326
30,Murcia,2021,51165,39,301.74339792913463,355.4975232690351,402.865689436138,53.7541253399005,Murcia,2019,107.02273714532262
30,Murcia,2022,53066,40,312.93558673469386,374.0555172568405,418.2161270870237,61.11993052214666,Murcia,2019,111.10063679489512
30,Murcia,2023,56818,40,328.1515151515151,388.16092112520687,437.98755676018163,60.00940597369174,Murcia,2019,116.35298907105746
30,Murcia,2024,59178,40,347.38520408163265,405.08266444749665,460.06206698435227,57.697460365864,Murcia,2019,122.21716308061319
31,Navarra,2021,20992,83,330.82835820895525,468.648711622807,515.4464081554878,137.82035341385176,Navarra,2021,99.99930316335004
31,Navarra,2022,23471,85,299.3333333333333,425.0,446.09288057603,125.66666666666669,Navarra,2021,86.5443555293491
31,Navarra,2023,24479,86,360.19144736842105,522.1864114552893,578.629560031047,161.99496408686826,Navarra,2021,112.25716558949404
31,Navarra,2024,24534,82,360.5043644298963,529.4396637669827,595.3630879595663,168.93529933708635,Navarra,2021,115.50355766021268
32,Ourense,2019,12056,22,265.93543046357615,349.75,337.2621101526211,83.81456953642385,Ourense,2019,100.00062567533095
32,Ourense,2020,12592,26,257.08319752281614,349.75,343.78748411689963,92.66680247718386,Ourense,2019,101.93544568490177
32,Ourense,2021,13026,28,276.94184214889736,364.1969453376206,354.7260095194227,87.25510318872324,Ourense,2019,105.17879663150764
32,Ourense,2022,13448,36,266.75,336.25,364.5640987507436,69.5,Ourense,2019,108.09586038983088
32,Ourense,2023,14245,36,290.2448979591837,357.0920658682635,377.10782730782734,66.84716790907981,Ourense,2019,111.81516554226039
32,Ourense,2024,14972,43,279.3620689655172,350.0,386.3769035532995,70.63793103448279,Ourense,2019,114.56351288421381
33,Asturias,2019,52323,57,291.8144329896907,356.9070208728653,408.06272576113753,65.09258788317459,Asturias,2019,100.00066798047776
33,Asturias,2020,53714,56,300.0,374.54030012157534,412.9722604907473,74.54030012157534,Asturias,2019,101.20380838375418
33,Asturias,2021,55463,58,300.0,380.4104398516163,423.7178659646972,80.41043985161627,Asturias,2019,103.83714795978463
33,Asturias,2022,56462,57,300.0,398.0,432.84447947291983,98.0,Asturias,2019,106.07373412559913
33,Asturias,2023,58814,60,301.18125,400.0,449.9222634066719,98.81875000000002,Asturias,2019,110.2588500236906
33,Asturias,2024,60454,60,318.5756108597285,408.6836001085187,467.4118503324842,90.1079892487902,Asturias,2019,114.54488318690493
34,Palencia,2019,5775,18,293.8636363636364,393.61146496815286,387.53800865800866,99.74782860451649,Palencia,2019,99.99948615833428
34,Palencia,2020,6019,20,298.75,392.5,388.6326632330952,93.75,Palencia,2019,100.28194850417896
34,Palencia,2021,6115,19,300.0,397.6046511627907,393.53164349959115,97.60465116279067,Palencia,2019,101.54607098611528
34,Palencia,2022,6243,21,300.0,414.1560975609756,406.6894121415986,114.15609756097558,Palencia,2019,104.94127371151329
34,Palencia,2023,6557,21,300.3114754098361,368.0,416.2678053988104,67.68852459016392,Palencia,2019,107.41286200103484
34,Palencia,2024,6865,23,314.0,382.0,432.23525127458123,68.0,Palencia,2019,111.53306788320721
35,"Palmas, Las",2019,53809,32,399.44861202908135,483.4284975914326,473.41329517366984,83.97988556235123,Las Palmas,2019,100.00069605071076
35,"Palmas, Las",2020,55813,32,400.44585987261144,472.5937297472456,474.75147367100857,72.14786987463418,Las Palmas,2019,100.28336403350342
35,"Palmas, Las",2021,57388,32,424.0456609755903,490.8216083622719,486.76786087683837,66.7759473866816,Las Palmas,2019,102.82162625986741
35,"Palmas, Las",2022,58519,32,441.26558038485416,503.7115117891817,512.2679642509271,62.44593140432755,Las Palmas,2019,108.20809958617839
35,"Palmas, Las",2023,60811,32,448.8505025125628,527.2040694229854,527.91422604463,78.35356691042261,Las Palmas,2019,111.51311253345514
35,"Palmas, Las",2024,63030,32,476.37621640851626,561.5354444444445,555.5274472473425,85.15922803592821,Las Palmas,2019,117.34594690592562
36,Pontevedra,2019,40213,56,296.85483870967744,370.35773484715133,405.52696889065726,73.5028961374739,Pontevedra,2019,99.99925255607657
36,Pontevedra,2020,41993,57,298.1111111111111,378.6163522012579,413.9194389541114,80.5052410901468,Pontevedra,2019,102.06875914337074
36,Pontevedra,2021,43573,57,300.0,388.4959349593496,427.1668693915957,88.4959349593496,Pontevedra,2019,105.3354546868532
36,Pontevedra,2022,44988,57,301.0,400.0,446.4190895349871,99.0,Pontevedra,2019,110.08287661455063
36,Pontevedra,2023,46402,57,324.3697478991597,400.0,459.2906986767812,75.63025210084032,Pontevedra,2019,113.25689805360422
36,Pontevedra,2024,48088,59,335.5970066518847,417.8888098624941,486.58889951755117,82.29180321060937,Pontevedra,2019,119.98838545053417
37,Salamanca,2019,16077,29,282.22222222222223,387.683615819209,423.5609877464701,105.4613935969868,Salamanca,2019,100.00023320107425
37,Salamanca,2020,16634,32,278.84078887957173,409.3903234200463,427.1254659131898,130.54953454047455,Salamanca,2019,100.8417853227854
37,Salamanca,2021,17104,32,292.9166666666667,413.55857516252263,428.0602198316183,120.64190849585594,Salamanca,2019,101.0624751703698
37,Salamanca,2022,17370,34,296.3333333333333,416.42819912775235,448.12256764536556,120.09486579441904,Salamanca,2019,105.79907631631069
37,Salamanca,2023,18244,33,300.0,415.5903614457831,468.66811006358256,115.59036144578312,Salamanca,2019,110.64975683812979
37,Salamanca,2024,19023,34,312.46774193548384,438.2748682476943,483.8225306208274,125.80712631221047,Salamanca,2019,114.22762551251947
38,Santa Cruz de Tenerife,2019,45521,52,353.94132653061223,442.16257612257925,453.11941741174405,88.22124959196702,Santa Cruz de Tenerife,2019,99.99987142737994
38,Santa Cruz de Tenerife,2020,48107,51,373.7394366197183,451.2782571776532,465.7312657201655,77.53882055793491,Santa Cruz de Tenerife,2019,102.78320659431618
38,Santa Cruz de Tenerife,2021,50206,53,375.8333333333333,459.1044776119403,476.8089471377923,83.27114427860698,Santa Cruz de Tenerife,2019,105.22796326310741
38,Santa Cruz de Tenerife,2022,51736,53,397.15,490.4453781512605,501.5361450440699,93.29537815126054,Santa Cruz de Tenerife,2019,110.68506025866655
38,Santa Cruz de Tenerife,2023,54136,53,425.0425531914894,505.7293233082707,526.1035540121177,80.6867701167813,Santa Cruz de Tenerife,2019,116.10689309942568
38,Santa Cruz de Tenerife,2024,55876,53,452.8536585365854,539.1020408163265,559.8442086047677,86.24838227974112,Santa Cruz de Tenerife,2019,123.55318869278949
39,Cantabria,2019,24336,65,352.39798488664985,425.9189189189189,455.8755752794214,73.52093403226905,Cantabria,2019,99.99902941112165
39,Cantabria,2020,25568,68,350.0,431.1617647058823,461.56167866082603,81.16176470588232,Cantabria,2019,101.24631013881418
39,Cantabria,2021,26674,67,363.2123161764706,436.30328681461145,467.3932668516158,73.09097063814085,Cantabria,2019,102.52550382811614
