COD_PROVINCIA,province_name,latitude,longitude,annual_mean_c,jan_c,feb_c,mar_c,apr_c,may_c,jun_c,jul_c,aug_c,sep_c,oct_c,nov_c,dec_c,winter_c,spring_c,summer_c,autumn_c,start_year,end_year
40,Segovia,41.108833974500044,-4.183805510118308,11.633698667640079,2.820333333333334,3.9414268867924527,6.6610000000000005,9.425333333333333,13.529999999999996,18.702999999999996,21.944,22.005000000000006,17.422,12.504000000000001,6.449333333333334,3.6969999999999996,3.4724704579025114,9.876967391304353,20.907706521739133,12.129274725274728,1995,2024
41,Sevilla,37.52041492950005,-5.653307476865858,18.252244935207163,8.961333333333334,10.388738207547172,13.02,15.819333333333335,20.048000000000002,25.284999999999997,28.995333333333335,29.032,24.365666666666666,19.43133333333333,13.102666666666668,10.063666666666668,9.786890694239295,16.30095652173912,27.797797101449262,18.971663003662997,1995,2024
42,Soria,41.601411720000044,-2.72147948535578,10.956325971892687,2.266,3.437900943396226,6.204999999999998,9.039333333333333,13.125666666666667,18.041333333333334,21.099333333333334,20.868000000000002,16.303,11.769000000000002,5.770666666666667,3.0596666666666663,2.9055428360413584,9.461202898550725,20.024210144927544,11.286252747252743,1995,2024
43,Tarragona,41.05338650550007,0.6270863050618757,15.983590071180874,7.704999999999998,8.728962264150944,11.369666666666665,14.000333333333334,17.886333333333333,22.471333333333334,25.196999999999996,25.20633333333333,21.33766666666667,17.374000000000002,11.618333333333336,8.445666666666668,8.280014771048746,14.423326086956513,24.311340579710137,16.783230769230766,1995,2024
44,Teruel,40.59881203300006,-0.9214764144525668,11.16584960759262,2.591333333333333,3.470129716981132,6.183,9.000000000000002,13.269666666666668,18.464333333333336,21.702333333333325,21.124333333333325,16.249999999999996,11.969666666666665,6.027333333333334,3.4233333333333333,3.152256277695717,9.489485507246377,20.451702898550725,11.421754578754584,1995,2024
45,Toledo,39.788307378500065,-4.102631052231721,15.146844314655953,5.015000000000001,6.6175000000000015,9.678999999999997,12.864333333333333,17.572000000000003,23.467999999999993,27.151666666666664,26.673666666666662,21.350666666666665,15.750999999999998,9.158666666666669,5.910333333333333,5.824298375184637,13.37729347826087,25.789405797101452,15.423747252747248,1995,2024
46,Valencia/Valencia,39.33404678750006,-0.8019770714363135,16.595639715276498,8.260000000000002,9.285058962264152,11.815333333333331,14.495666666666667,18.467999999999996,23.184333333333335,26.20233333333333,26.015666666666675,21.916333333333334,17.83366666666667,12.08633333333333,9.11133333333333,8.873364106351554,14.931014492753627,25.155304347826096,17.28487545787546,1995,2024
47,Valladolid,41.70412361100006,-4.697091012250786,12.569833911297678,3.8463333333333325,5.131096698113209,7.906999999999999,10.661,14.734333333333332,19.60333333333334,22.435333333333332,22.371,18.124,13.438999999999998,7.542666666666666,4.569333333333334,4.496949778434269,11.105557971014491,21.49017753623189,13.039659340659343,1995,2024
48,Bizkaia,43.23917273750004,-2.8511295597341766,11.87137342580762,5.273333333333333,5.990200471698114,8.148333333333335,10.120666666666667,13.279333333333334,16.676666666666666,18.546000000000006,19.044999999999998,16.73933333333333,13.609666666666664,8.586666666666666,6.072333333333334,5.772215657311669,10.520409420289855,18.104576086956524,12.985490842490842,1995,2024
49,Zamora,41.686580826500034,-5.9425946080037,12.553784449717101,3.993333333333333,5.154622641509435,7.736,10.362333333333336,14.273666666666667,19.25466666666667,22.618999999999993,22.595333333333333,18.328999999999997,13.498666666666667,7.640666666666668,4.709,4.602765878877402,10.795322463768118,21.513960144927537,13.159875457875458,1995,2024
50,Zaragoza,41.84402038850007,-1.170849419808773,14.03810275597736,5.228333333333333,6.466674528301885,9.508000000000003,12.359333333333328,16.48966666666667,21.131999999999998,23.778000000000002,23.698999999999998,19.417333333333335,15.081666666666665,8.99,5.824999999999999,5.821026587887739,12.790300724637682,22.8885543478261,14.502765567765563,1995,2024
51,Ceuta,35.894265302000065,-5.3471902688858375,18.241379813834655,13.765,13.89353773584906,14.843,16.16766666666667,18.319,20.968,23.188333333333333,23.880333333333336,22.072,19.90566666666666,16.733999999999998,14.872666666666667,14.185653618906937,16.44621739130435,22.697485507246373,19.5742380952381,1995,2024
52,Melilla,35.29265108100003,-2.951647995916824,18.878933199488966,14.55,14.553702830188682,15.358000000000002,16.589666666666666,18.659000000000002,21.284999999999997,23.685333333333332,24.692,22.998333333333335,20.752999999999997,17.594,15.543000000000001,14.892182422451999,16.871923913043478,23.241818840579704,20.45179120879121,1995,2024
